x=[0.557723], y=[0.887801], z=[0.000000]
x=[0.559021], y=[0.887146], z=[0.000000]
x=[0.560317], y=[0.886489], z=[0.000000]
x=[0.561611], y=[0.885830], z=[0.000000]
x=[0.562903], y=[0.885169], z=[0.000000]
x=[0.564194], y=[0.884506], z=[0.000000]
x=[0.565482], y=[0.883842], z=[0.000000]
x=[0.566769], y=[0.883175], z=[0.000000]
x=[0.568053], y=[0.882506], z=[0.000000]
x=[0.569336], y=[0.881836], z=[0.000000]
x=[0.570617], y=[0.881164], z=[0.000000]
x=[0.571896], y=[0.880489], z=[0.000000]
x=[0.573173], y=[0.879813], z=[0.000000]
x=[0.574448], y=[0.879135], z=[0.000000]
x=[0.575721], y=[0.878455], z=[0.000000]
x=[0.576992], y=[0.877773], z=[0.000000]
x=[0.578261], y=[0.877090], z=[0.000000]
x=[0.579529], y=[0.876404], z=[0.000000]
x=[0.580794], y=[0.875716], z=[0.000000]
x=[0.582058], y=[0.875027], z=[0.000000]
x=[0.583320], y=[0.874335], z=[0.000000]
x=[0.584579], y=[0.873642], z=[0.000000]
x=[0.585837], y=[0.872947], z=[0.000000]
x=[0.587093], y=[0.872250], z=[0.000000]
x=[0.588347], y=[0.871551], z=[0.000000]
x=[0.589600], y=[0.870850], z=[0.000000]
x=[0.590850], y=[0.870147], z=[0.000000]
x=[0.592098], y=[0.869442], z=[0.000000]
x=[0.593345], y=[0.868735], z=[0.000000]
x=[0.594589], y=[0.868027], z=[0.000000]
x=[0.595832], y=[0.867316], z=[0.000000]
x=[0.597073], y=[0.866604], z=[0.000000]
x=[0.598311], y=[0.865890], z=[0.000000]
x=[0.599548], y=[0.865173], z=[0.000000]
x=[0.600783], y=[0.864455], z=[0.000000]
x=[0.602016], y=[0.863735], z=[0.000000]
x=[0.603248], y=[0.863013], z=[0.000000]
x=[0.604477], y=[0.862289], z=[0.000000]
x=[0.605704], y=[0.861564], z=[0.000000]
x=[0.606930], y=[0.860836], z=[0.000000]
x=[0.608153], y=[0.860106], z=[0.000000]
x=[0.609375], y=[0.859375], z=[0.000000]
x=[0.610595], y=[0.858642], z=[0.000000]
x=[0.611813], y=[0.857906], z=[0.000000]
x=[0.613029], y=[0.857169], z=[0.000000]
x=[0.614243], y=[0.856430], z=[0.000000]
x=[0.615455], y=[0.855689], z=[0.000000]
x=[0.616665], y=[0.854946], z=[0.000000]
x=[0.617873], y=[0.854201], z=[0.000000]
x=[0.619080], y=[0.853455], z=[0.000000]
x=[0.620284], y=[0.852706], z=[0.000000]
x=[0.621487], y=[0.851955], z=[0.000000]
x=[0.622687], y=[0.851203], z=[0.000000]
x=[0.623886], y=[0.850449], z=[0.000000]
x=[0.625083], y=[0.849692], z=[0.000000]
x=[0.626278], y=[0.848934], z=[0.000000]
x=[0.627471], y=[0.848174], z=[0.000000]
x=[0.628662], y=[0.847412], z=[0.000000]
x=[0.629851], y=[0.846648], z=[0.000000]
x=[0.631039], y=[0.845882], z=[0.000000]
x=[0.632224], y=[0.845115], z=[0.000000]
x=[0.633408], y=[0.844345], z=[0.000000]
x=[0.634589], y=[0.843574], z=[0.000000]
x=[0.635769], y=[0.842800], z=[0.000000]
x=[0.636947], y=[0.842025], z=[0.000000]
x=[0.638123], y=[0.841248], z=[0.000000]
x=[0.639297], y=[0.840468], z=[0.000000]
x=[0.640469], y=[0.839687], z=[0.000000]
x=[0.641639], y=[0.838904], z=[0.000000]
x=[0.642807], y=[0.838120], z=[0.000000]
x=[0.643973], y=[0.837333], z=[0.000000]
x=[0.645138], y=[0.836544], z=[0.000000]
x=[0.646300], y=[0.835753], z=[0.000000]
x=[0.647461], y=[0.834961], z=[0.000000]
x=[0.648620], y=[0.834167], z=[0.000000]
x=[0.649776], y=[0.833370], z=[0.000000]
x=[0.650931], y=[0.832572], z=[0.000000]
x=[0.652084], y=[0.831772], z=[0.000000]
x=[0.653235], y=[0.830970], z=[0.000000]
x=[0.654385], y=[0.830166], z=[0.000000]
x=[0.655532], y=[0.829360], z=[0.000000]
x=[0.656677], y=[0.828552], z=[0.000000]
x=[0.657821], y=[0.827743], z=[0.000000]
x=[0.658962], y=[0.826931], z=[0.000000]
x=[0.660102], y=[0.826118], z=[0.000000]
x=[0.661240], y=[0.825302], z=[0.000000]
x=[0.662375], y=[0.824485], z=[0.000000]
x=[0.663509], y=[0.823666], z=[0.000000]
x=[0.664641], y=[0.822845], z=[0.000000]
x=[0.665771], y=[0.822021], z=[0.000000]
x=[0.666900], y=[0.821197], z=[0.000000]
x=[0.668026], y=[0.820370], z=[0.000000]
x=[0.669150], y=[0.819541], z=[0.000000]
x=[0.670273], y=[0.818710], z=[0.000000]
x=[0.671393], y=[0.817878], z=[0.000000]
x=[0.672512], y=[0.817043], z=[0.000000]
x=[0.673629], y=[0.816207], z=[0.000000]
x=[0.674744], y=[0.815369], z=[0.000000]
x=[0.675857], y=[0.814528], z=[0.000000]
x=[0.676968], y=[0.813686], z=[0.000000]
x=[0.678077], y=[0.812842], z=[0.000000]
x=[0.679184], y=[0.811996], z=[0.000000]
x=[0.680289], y=[0.811149], z=[0.000000]
x=[0.681393], y=[0.810299], z=[0.000000]
x=[0.682494], y=[0.809447], z=[0.000000]
x=[0.683594], y=[0.808594], z=[0.000000]
x=[0.684691], y=[0.807738], z=[0.000000]
x=[0.685787], y=[0.806881], z=[0.000000]
x=[0.686881], y=[0.806022], z=[0.000000]
x=[0.687973], y=[0.805161], z=[0.000000]
x=[0.689063], y=[0.804297], z=[0.000000]
x=[0.690151], y=[0.803432], z=[0.000000]
x=[0.691237], y=[0.802566], z=[0.000000]
x=[0.692322], y=[0.801697], z=[0.000000]
x=[0.693404], y=[0.800826], z=[0.000000]
x=[0.694485], y=[0.799953], z=[0.000000]
x=[0.695563], y=[0.799079], z=[0.000000]
x=[0.696640], y=[0.798203], z=[0.000000]
x=[0.697715], y=[0.797324], z=[0.000000]
x=[0.698788], y=[0.796444], z=[0.000000]
x=[0.699859], y=[0.795562], z=[0.000000]
x=[0.700928], y=[0.794678], z=[0.000000]
x=[0.701995], y=[0.793792], z=[0.000000]
x=[0.703060], y=[0.792904], z=[0.000000]
x=[0.704123], y=[0.792014], z=[0.000000]
x=[0.705185], y=[0.791122], z=[0.000000]
x=[0.706244], y=[0.790229], z=[0.000000]
x=[0.707302], y=[0.789333], z=[0.000000]
x=[0.708358], y=[0.788436], z=[0.000000]
x=[0.709412], y=[0.787537], z=[0.000000]
x=[0.710464], y=[0.786635], z=[0.000000]
x=[0.711514], y=[0.785732], z=[0.000000]
x=[0.712562], y=[0.784827], z=[0.000000]
x=[0.713608], y=[0.783920], z=[0.000000]
x=[0.714652], y=[0.783011], z=[0.000000]
x=[0.715694], y=[0.782101], z=[0.000000]
x=[0.716735], y=[0.781188], z=[0.000000]
x=[0.717773], y=[0.780273], z=[0.000000]
x=[0.718810], y=[0.779357], z=[0.000000]
x=[0.719845], y=[0.778439], z=[0.000000]
x=[0.720878], y=[0.777518], z=[0.000000]
x=[0.721909], y=[0.776596], z=[0.000000]
x=[0.722938], y=[0.775672], z=[0.000000]
x=[0.723965], y=[0.774746], z=[0.000000]
x=[0.724990], y=[0.773818], z=[0.000000]
x=[0.726013], y=[0.772888], z=[0.000000]
x=[0.727035], y=[0.771956], z=[0.000000]
x=[0.728054], y=[0.771023], z=[0.000000]
